,agent_call_AT,agent_call_flop,agent_call_top_pair,agent_raise_AT,agent_raise_aggressive,background_agent_v1,background_agent_v2,player_call,player_raise,player_random
,978,1004,958,964,964,0,3092,906,1132,0
,995,955,952,967,967,0,0,937,1035,3192
,960,950,1003,964,964,0,0,1066,872,2247
,1004,948,971,965,964,0,0,906,994,3248
,965,932,954,967,967,0,2112,971,954,0
,973,952,994,964,964,0,3155,892,1082,0
,950,985,968,962,964,0,0,1054,963,3154
,947,1000,981,966,964,2067,0,884,1153,0
,976,1000,962,970,967,0,0,920,915,3289
,960,1008,968,964,964,0,3330,860,935,0
,957,998,964,967,967,1095,2147,1015,890,0
,964,967,965,967,967,0,2035,886,1174,1075
,1000,1021,974,964,964,1940,0,968,1048,0
,978,953,957,965,964,3110,0,1040,973,0
,964,967,948,964,966,0,2114,1048,980,0
,1039,970,946,964,964,2009,0,1211,888,0
,934,989,1024,967,967,2139,995,1097,888,0
,1016,1001,960,961,964,0,2967,1210,894,0
,971,950,971,967,964,0,0,968,893,3316
,985,989,955,964,964,2306,0,890,949,0
,985,964,965,964,961,0,3280,1003,878,0
,1010,998,953,967,967,2182,0,878,903,0
,964,949,964,967,964,0,3261,1007,924,0
,995,965,953,964,963,0,3160,951,1026,0
,953,986,966,967,967,3235,0,889,987,0
,967,982,952,966,967,2711,0,882,868,0
,975,995,954,964,964,0,2088,1064,934,0
,959,1003,964,964,964,0,2294,898,951,0
,997,1003,968,967,967,3324,0,896,878,0
,953,969,952,964,965,3161,0,1075,961,0
,1006,944,955,967,969,2253,0,874,1040,0
,1005,967,987,969,967,2015,1235,979,864,0
,976,970,982,967,967,2272,971,874,1005,0
,970,962,1012,970,967,1899,1280,864,961,0
,986,971,957,967,967,0,0,1019,1005,3128
,956,991,961,967,966,2075,0,898,953,0
,963,960,970,967,967,1187,2066,999,888,0
,966,966,953,966,967,2173,0,963,929,0
,961,961,976,967,967,0,3085,1114,969,0
,996,940,954,967,967,1172,2208,908,888,0
,977,1014,970,964,965,0,3034,958,1089,0
,968,967,1017,967,967,1985,1015,1224,872,0
,968,940,948,967,967,1086,1947,1223,896,0
,951,948,950,966,965,2078,0,892,1166,0
,992,959,966,964,967,2165,0,1061,858,0
,950,976,969,964,964,0,2984,1043,1092,0
,1004,944,978,964,964,0,3175,1045,908,0
,979,954,958,962,961,3315,0,991,880,0
,950,946,962,964,964,0,0,1071,895,3237
,957,993,964,964,964,0,2905,1203,961,0
,998,938,956,964,964,0,2143,1080,902,0
,950,963,949,964,961,0,2179,1036,991,0
,941,942,953,967,967,0,2042,923,1093,1172
,956,968,968,964,964,0,3318,884,953,0
,1008,996,947,964,963,0,3263,896,963,0
,965,999,970,967,967,1076,2093,892,1068,0
,965,982,959,967,965,0,2164,1076,892,0
,965,957,1005,967,967,1951,1377,927,884,0
,960,949,966,962,961,3172,0,998,1032,0
,989,969,981,964,967,3259,0,998,868,0
,982,947,956,967,966,0,2031,995,1010,0
,953,987,967,965,964,0,2037,1068,1025,0
,969,965,953,967,967,1126,2089,1068,878,0
,993,975,987,964,962,0,0,874,1121,3124
,972,966,946,965,967,0,3154,919,1106,0
,977,968,962,963,964,3099,0,1183,884,0
,969,969,964,962,964,0,0,972,1034,2180
,961,965,972,967,964,2400,0,878,874,0
,957,962,962,967,964,0,0,1013,939,2286
,958,980,985,967,967,1209,2172,868,894,0
,996,957,964,967,967,0,1858,888,1088,0
,941,970,956,964,961,2249,0,892,1020,0
,944,1005,987,966,967,0,3107,880,1114,0
,970,950,965,967,967,2144,1214,882,906,0
,949,988,990,967,965,0,0,865,1134,2268
,992,974,953,967,967,1084,1973,896,1183,0
,951,1009,960,965,967,2192,0,968,882,1106
,965,954,974,965,964,2308,0,953,936,0
,990,944,970,964,964,0,0,874,1149,3145
,956,967,957,966,964,3032,0,918,1176,0
,959,941,963,964,964,2207,0,900,1106,0
,1002,953,962,964,964,0,2102,876,1131,0
,967,973,969,964,964,0,0,1129,879,2123
,1001,955,979,967,967,2977,0,1164,866,0
,979,973,951,964,964,3000,0,1032,1084,0
,994,970,969,967,965,0,2295,1003,878,0
,976,940,960,964,964,3247,0,1071,878,0
,987,949,953,964,964,3123,0,981,1071,0
,950,973,947,964,962,0,0,1027,1002,3175
,961,977,974,964,964,0,3039,1217,870,0
,992,960,973,967,967,1963,1002,1011,1071,0
,993,988,997,964,965,0,3275,929,889,0
,1036,982,985,964,964,2310,0,876,868,0
,990,957,948,964,966,0,2108,870,1094,0
,958,953,964,966,964,0,3094,1044,1057,0
